dataset,graph,solver,num_nodes,num_edges,total_time_micro_seconds,solve_time_micro_seconds,transformation_time_micro_seconds,mwu_iterations,avg_oracle_time_micro_seconds,avg_tree_height,load_computation_micro_seconds,mendel_total_micro_seconds,mendel_avg_micro_seconds,oblivious_ratio,demand_model,offline_opt,achieved_congestion,ratio_pct,mwu_weight_update_time_micro_seconds,cycle_removal_type,cycle_removal_time_micro_seconds,status
2dgrids,grid2d_23_23.lgf,Electrical Flow (naive),529,1012,5.98239e+06,1.67753e+06,1.27242e+06,31,54056,NaN,3.00622e+06,NaN,NaN,9.42981,none,NaN,NaN,NaN,8318,none,NaN,OK
2dgrids,grid2d_23_23.lgf,Electrical Flow (sketching),529,1012,3.09433e+06,1.64022e+06,1.23125e+06,31,52817.9,NaN,3.2021e+06,NaN,NaN,9.81224,none,NaN,NaN,NaN,9098,none,NaN,OK
2dgrids,grid2d_25_25.lgf,Electrical Flow (naive),625,1200,9.2892e+06,2.51752e+06,2.19385e+06,33,76250.2,NaN,4.54261e+06,NaN,NaN,9.6396,none,NaN,NaN,NaN,12956,none,NaN,OK
2dgrids,grid2d_25_25.lgf,Electrical Flow (sketching),625,1200,4.78087e+06,2.41411e+06,2.08988e+06,33,73046.5,NaN,4.78521e+06,NaN,NaN,10.3933,none,NaN,NaN,NaN,12281,none,NaN,OK
2dgrids,grid2d_27_27.lgf,Electrical Flow (naive),729,1404,1.32389e+07,3.52488e+06,3.24682e+06,34,103622,NaN,6.42489e+06,NaN,NaN,9.83393,none,NaN,NaN,NaN,15836,none,NaN,OK
2dgrids,grid2d_27_27.lgf,Electrical Flow (sketching),729,1404,7.38291e+06,3.65288e+06,3.3589e+06,34,107317,NaN,6.75308e+06,NaN,NaN,10.2953,none,NaN,NaN,NaN,16646,none,NaN,OK
2dgrids,grid2d_30_30.lgf,Electrical Flow (naive),900,1740,2.33718e+07,6.09115e+06,6.13243e+06,37,164564,NaN,1.10893e+07,NaN,NaN,10.1007,none,NaN,NaN,NaN,22986,none,NaN,OK
2dgrids,grid2d_30_30.lgf,Electrical Flow (sketching),900,1740,1.25219e+07,5.98051e+06,6.03898e+06,37,161498,NaN,1.15328e+07,NaN,NaN,10.7584,none,NaN,NaN,NaN,23264,none,NaN,OK
2dgrids,grid2d_32_32.lgf,Electrical Flow (naive),1024,1984,3.35217e+07,8.75624e+06,8.58334e+06,39,224437,NaN,1.61078e+07,NaN,NaN,10.2637,none,NaN,NaN,NaN,31839,none,NaN,OK
2dgrids,grid2d_32_32.lgf,Electrical Flow (sketching),1024,1984,1.81256e+07,8.83319e+06,8.62738e+06,39,226336,NaN,1.66978e+07,NaN,NaN,10.9075,none,NaN,NaN,NaN,32538,none,NaN,OK
2dgrids,grid2d_35_35.lgf,Electrical Flow (naive),1225,2380,5.04692e+07,1.30197e+07,1.3389e+07,41,317452,NaN,2.39586e+07,NaN,NaN,10.4901,none,NaN,NaN,NaN,48265,none,NaN,OK
2dgrids,grid2d_35_35.lgf,Electrical Flow (sketching),1225,2380,2.83509e+07,1.36154e+07,1.3836e+07,41,331896,NaN,2.47554e+07,NaN,NaN,11.116,none,NaN,NaN,NaN,49255,none,NaN,OK
2dgrids,grid2d_38_38.lgf,Electrical Flow (naive),1444,2812,8.48327e+07,2.14876e+07,2.25963e+07,44,488251,NaN,4.06079e+07,NaN,NaN,10.6986,none,NaN,NaN,NaN,72982,none,NaN,OK
2dgrids,grid2d_38_38.lgf,Electrical Flow (sketching),1444,2812,4.75067e+07,2.26999e+07,2.34733e+07,44,515676,NaN,4.18014e+07,NaN,NaN,11.2249,none,NaN,NaN,NaN,71908,none,NaN,OK
2dgrids,grid2d_40_40.lgf,Electrical Flow (naive),1600,3120,1.07153e+08,2.72197e+07,2.83629e+07,45,604762,NaN,5.14045e+07,NaN,NaN,10.8286,none,NaN,NaN,NaN,88622,none,NaN,OK
2dgrids,grid2d_40_40.lgf,Electrical Flow (sketching),1600,3120,6.11963e+07,2.96256e+07,3.00043e+07,45,658084,NaN,5.28036e+07,NaN,NaN,11.5575,none,NaN,NaN,NaN,90073,none,NaN,OK
2dgrids,grid2d_42_42.lgf,Electrical Flow (naive),1764,3444,1.47405e+08,3.75272e+07,3.73619e+07,47,798321,NaN,7.23083e+07,NaN,NaN,10.9519,none,NaN,NaN,NaN,117992,none,NaN,OK
2dgrids,grid2d_42_42.lgf,Electrical Flow (sketching),1764,3444,8.53289e+07,4.25031e+07,4.07747e+07,47,904017,NaN,7.41492e+07,NaN,NaN,11.6033,none,NaN,NaN,NaN,119876,none,NaN,OK
2dgrids,grid2d_45_45.lgf,Electrical Flow (naive),2025,3960,2.17316e+08,5.54081e+07,5.55454e+07,49,1.13061e+06,NaN,1.06094e+08,NaN,NaN,11.1268,none,NaN,NaN,NaN,160594,none,NaN,OK
2dgrids,grid2d_45_45.lgf,Electrical Flow (sketching),2025,3960,1.2283e+08,6.08999e+07,5.9344e+07,49,1.24249e+06,NaN,1.08402e+08,NaN,NaN,11.7218,none,NaN,NaN,NaN,169048,none,NaN,OK
2dgrids,grid_10x15.lgf,Electrical Flow (naive),150,275,305992,85920,50540,21,4073.62,NaN,164478,NaN,NaN,7.9393,none,NaN,NaN,NaN,1173,none,NaN,OK
2dgrids,grid_10x15.lgf,Electrical Flow (sketching),150,275,167148,83284,49254,21,3929.95,NaN,193936,NaN,NaN,7.97797,none,NaN,NaN,NaN,1138,none,NaN,OK
