dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
Backbone,3967.lgf,electrical,21,72,8,8,0,13,0,bimodal,59672.2,736472,1234.2,OK
Backbone,3967.lgf,electrical,21,72,8,8,0,13,0,uniform,235108,5.39544e+06,2294.88,OK
Backbone,3967.lgf,electrical,21,72,8,8,0,13,0,gaussian,261630,6.13775e+06,2345.97,OK
Backbone,3967.lgf,electrical,21,72,8,8,0,13,0,gravity,1.88442,85.0942,4515.66,OK
Backbone,3967.lgf,raecke_frt,21,72,21,0,7,15,0,bimodal,59672.2,568751,953.126,OK
Backbone,3967.lgf,raecke_frt,21,72,21,0,7,15,0,uniform,235108,4.16193e+06,1770.22,OK
Backbone,3967.lgf,raecke_frt,21,72,21,0,7,15,0,gaussian,261630,5.03331e+06,1923.83,OK
Backbone,3967.lgf,raecke_frt,21,72,21,0,7,15,0,gravity,1.88442,75.2589,3993.74,OK
Backbone,3967.lgf,raecke_ckr,21,72,17,0,9,16,0,bimodal,59672.2,533605,894.227,OK
Backbone,3967.lgf,raecke_ckr,21,72,17,0,9,16,0,uniform,235108,4.86563e+06,2069.53,OK
Backbone,3967.lgf,raecke_ckr,21,72,17,0,9,16,0,gaussian,261630,5.79403e+06,2214.59,OK
Backbone,3967.lgf,raecke_ckr,21,72,17,0,9,16,0,gravity,1.88442,66.4097,3524.14,OK
Backbone,3967.lgf,raecke_random_mst,21,72,12,0,4,16,0,bimodal,59672.2,372089,623.556,OK
Backbone,3967.lgf,raecke_random_mst,21,72,12,0,4,16,0,uniform,235108,2.58303e+06,1098.65,OK
Backbone,3967.lgf,raecke_random_mst,21,72,12,0,4,16,0,gaussian,261630,2.94298e+06,1124.86,OK
Backbone,3967.lgf,raecke_random_mst,21,72,12,0,4,16,0,gravity,1.88442,52.3973,2780.55,OK
Backbone,3967.lgf,raecke_frt_mendel,21,72,132,0,61,77,0,bimodal,59672.2,312948,524.445,OK
Backbone,3967.lgf,raecke_frt_mendel,21,72,132,0,61,77,0,uniform,235108,2.29296e+06,975.277,OK
Backbone,3967.lgf,raecke_frt_mendel,21,72,132,0,61,77,0,gaussian,261630,2.7111e+06,1036.24,OK
Backbone,3967.lgf,raecke_frt_mendel,21,72,132,0,61,77,0,gravity,1.88442,41.8157,2219.02,OK
Backbone,3967.lgf,raecke_ckr_mendel,21,72,122,0,62,73,0,bimodal,59672.2,276548,463.445,OK
Backbone,3967.lgf,raecke_ckr_mendel,21,72,122,0,62,73,0,uniform,235108,1.94818e+06,828.634,OK
Backbone,3967.lgf,raecke_ckr_mendel,21,72,122,0,62,73,0,gaussian,261630,2.42498e+06,926.875,OK
Backbone,3967.lgf,raecke_ckr_mendel,21,72,122,0,62,73,0,gravity,1.88442,37.8481,2008.47,OK
Rocketfuel_Topologies,3967.lgf,electrical,21,72,8,8,0,13,0,bimodal,51258.9,1.69659e+06,3309.84,OK
Rocketfuel_Topologies,3967.lgf,electrical,21,72,8,8,0,13,0,uniform,255583,1.19233e+07,4665.13,OK
Rocketfuel_Topologies,3967.lgf,electrical,21,72,8,8,0,13,0,gaussian,377276,1.46999e+07,3896.31,OK
Rocketfuel_Topologies,3967.lgf,electrical,21,72,8,8,0,13,0,gravity,1.88442,202.65,10753.9,OK
Rocketfuel_Topologies,3967.lgf,raecke_frt,21,72,12,0,0,16,0,bimodal,51258.9,417237,813.979,OK
Rocketfuel_Topologies,3967.lgf,raecke_frt,21,72,12,0,0,16,0,uniform,255583,2.89767e+06,1133.75,OK
Rocketfuel_Topologies,3967.lgf,raecke_frt,21,72,12,0,0,16,0,gaussian,377276,3.48007e+06,922.419,OK
Rocketfuel_Topologies,3967.lgf,raecke_frt,21,72,12,0,0,16,0,gravity,1.88442,51.9214,2755.29,OK
Rocketfuel_Topologies,3967.lgf,raecke_ckr,21,72,9,0,0,15,0,bimodal,51258.9,490960,957.804,OK
Rocketfuel_Topologies,3967.lgf,raecke_ckr,21,72,9,0,0,15,0,uniform,255583,3.21254e+06,1256.94,OK
Rocketfuel_Topologies,3967.lgf,raecke_ckr,21,72,9,0,0,15,0,gaussian,377276,3.88469e+06,1029.67,OK
Rocketfuel_Topologies,3967.lgf,raecke_ckr,21,72,9,0,0,15,0,gravity,1.88442,64.3748,3416.16,OK
Rocketfuel_Topologies,3967.lgf,raecke_random_mst,21,72,9,0,2,15,0,bimodal,51258.9,508089,991.221,OK
