dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
Rocketfuel_Topologies,Atnt.lgf,electrical,22,76,9,8,0,13,0,bimodal,734.974,2435.25,331.338,OK
Rocketfuel_Topologies,Atnt.lgf,electrical,22,76,9,8,0,13,0,uniform,4664,22743.4,487.638,OK
Rocketfuel_Topologies,Atnt.lgf,electrical,22,76,9,8,0,13,0,gaussian,4902.3,25092.6,511.853,OK
Rocketfuel_Topologies,Atnt.lgf,electrical,22,76,9,8,0,13,0,gravity,1.88089,10.6047,563.813,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_frt,22,76,20,0,1,20,0,bimodal,734.974,3168.78,431.142,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_frt,22,76,20,0,1,20,0,uniform,4664,31789.2,681.587,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_frt,22,76,20,0,1,20,0,gaussian,4902.3,34932.7,712.578,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_frt,22,76,20,0,1,20,0,gravity,1.88089,14.5938,775.901,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_ckr,22,76,14,0,1,21,0,bimodal,734.974,3177.97,432.392,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_ckr,22,76,14,0,1,21,0,uniform,4664,31132.7,667.512,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_ckr,22,76,14,0,1,21,0,gaussian,4902.3,34758.8,709.03,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_ckr,22,76,14,0,1,21,0,gravity,1.88089,15.6769,833.487,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_random_mst,22,76,22,0,9,25,0,bimodal,734.974,2764.38,376.119,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_random_mst,22,76,22,0,9,25,0,uniform,4664,23639.1,506.842,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_random_mst,22,76,22,0,9,25,0,gaussian,4902.3,25481.6,519.787,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_random_mst,22,76,22,0,9,25,0,gravity,1.88089,12.2887,653.345,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_frt_mendel,22,76,47,0,0,61,0,bimodal,734.974,2954.54,401.993,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_frt_mendel,22,76,47,0,0,61,0,uniform,4664,26153.1,560.743,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_frt_mendel,22,76,47,0,0,61,0,gaussian,4902.3,28554.8,582.477,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_frt_mendel,22,76,47,0,0,61,0,gravity,1.88089,13.5065,718.094,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_ckr_mendel,22,76,44,0,0,60,0,bimodal,734.974,3153.43,429.054,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_ckr_mendel,22,76,44,0,0,60,0,uniform,4664,24878.8,533.422,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_ckr_mendel,22,76,44,0,0,60,0,gaussian,4902.3,28153,574.281,OK
Rocketfuel_Topologies,Atnt.lgf,raecke_ckr_mendel,22,76,44,0,0,60,0,gravity,1.88089,13.7404,730.526,OK
