dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
SNDLib_Topologies,17_optic_german.lgf,electrical,17,52,5,5,0,12,0,bimodal,597.304,2866.35,479.881,OK
SNDLib_Topologies,17_optic_german.lgf,electrical,17,52,5,5,0,12,0,uniform,3308.71,19544.1,590.686,OK
SNDLib_Topologies,17_optic_german.lgf,electrical,17,52,5,5,0,12,0,gaussian,4394.21,24519.1,557.986,OK
SNDLib_Topologies,17_optic_german.lgf,electrical,17,52,5,5,0,12,0,gravity,1.86538,11.0231,590.93,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_frt,17,52,8,0,0,14,0,bimodal,597.304,4086.98,684.238,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_frt,17,52,8,0,0,14,0,uniform,3308.71,23786.5,718.906,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_frt,17,52,8,0,0,14,0,gaussian,4394.21,30284.5,689.191,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_frt,17,52,8,0,0,14,0,gravity,1.86538,13.4127,719.03,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_ckr,17,52,9,0,0,16,0,bimodal,597.304,3922.33,656.671,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_ckr,17,52,9,0,0,16,0,uniform,3308.71,26011.2,786.143,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_ckr,17,52,9,0,0,16,0,gaussian,4394.21,31824.3,724.233,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_ckr,17,52,9,0,0,16,0,gravity,1.86538,16.1297,864.684,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_random_mst,17,52,10,0,1,18,0,bimodal,597.304,3598.08,602.387,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_random_mst,17,52,10,0,1,18,0,uniform,3308.71,25472.3,769.855,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_random_mst,17,52,10,0,1,18,0,gaussian,4394.21,32945.8,749.754,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_random_mst,17,52,10,0,1,18,0,gravity,1.86538,14.2842,765.75,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_frt_mendel,17,52,18,0,0,34,0,bimodal,597.304,2994.56,501.346,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_frt_mendel,17,52,18,0,0,34,0,uniform,3308.71,20871.8,630.814,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_frt_mendel,17,52,18,0,0,34,0,gaussian,4394.21,26268.8,597.803,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_frt_mendel,17,52,18,0,0,34,0,gravity,1.86538,11.6667,625.43,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_ckr_mendel,17,52,16,0,0,33,0,bimodal,597.304,3060.46,512.379,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_ckr_mendel,17,52,16,0,0,33,0,uniform,3308.71,22181.2,670.388,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_ckr_mendel,17,52,16,0,0,33,0,gaussian,4394.21,27853.2,633.861,OK
SNDLib_Topologies,17_optic_german.lgf,raecke_ckr_mendel,17,52,16,0,0,33,0,gravity,1.86538,11.9787,642.155,OK
