dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
SNDLib_Topologies,20_optic_arpa.lgf,electrical,21,50,6,6,0,10,0,bimodal,797.121,4546.34,570.345,OK
SNDLib_Topologies,20_optic_arpa.lgf,electrical,21,50,6,6,0,10,0,uniform,5042.52,32878.3,652.022,OK
SNDLib_Topologies,20_optic_arpa.lgf,electrical,21,50,6,6,0,10,0,gaussian,6945.71,39345.6,566.473,OK
SNDLib_Topologies,20_optic_arpa.lgf,electrical,21,50,6,6,0,10,0,gravity,1.8976,12.4531,656.257,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_frt,21,50,8,0,0,12,0,bimodal,797.121,5800.97,727.74,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_frt,21,50,8,0,0,12,0,uniform,5042.52,42864.9,850.068,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_frt,21,50,8,0,0,12,0,gaussian,6945.71,53810.6,774.731,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_frt,21,50,8,0,0,12,0,gravity,1.8976,15.8226,833.822,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_ckr,21,50,6,0,0,12,0,bimodal,797.121,5599.79,702.501,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_ckr,21,50,6,0,0,12,0,uniform,5042.52,46254.4,917.288,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_ckr,21,50,6,0,0,12,0,gaussian,6945.71,57031.5,821.103,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_ckr,21,50,6,0,0,12,0,gravity,1.8976,16.9233,891.828,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_random_mst,21,50,9,0,1,15,0,bimodal,797.121,5352.68,671.502,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_random_mst,21,50,9,0,1,15,0,uniform,5042.52,38704.3,767.56,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_random_mst,21,50,9,0,1,15,0,gaussian,6945.71,47918.8,689.905,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_random_mst,21,50,9,0,1,15,0,gravity,1.8976,13.8483,729.782,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_frt_mendel,21,50,13,0,0,25,0,bimodal,797.121,4500.98,564.654,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_frt_mendel,21,50,13,0,0,25,0,uniform,5042.52,36453.3,722.919,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_frt_mendel,21,50,13,0,0,25,0,gaussian,6945.71,43570.4,627.3,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_frt_mendel,21,50,13,0,0,25,0,gravity,1.8976,13.5306,713.037,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_ckr_mendel,21,50,13,0,0,26,0,bimodal,797.121,4714.33,591.42,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_ckr_mendel,21,50,13,0,0,26,0,uniform,5042.52,37371.9,741.135,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_ckr_mendel,21,50,13,0,0,26,0,gaussian,6945.71,43984.1,633.256,OK
SNDLib_Topologies,20_optic_arpa.lgf,raecke_ckr_mendel,21,50,13,0,0,26,0,gravity,1.8976,14.3901,758.33,OK
