dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
SNDLib_Topologies,33_optic_italian.lgf,electrical,33,112,17,17,0,14,1,bimodal,1011.24,8315.33,822.294,OK
SNDLib_Topologies,33_optic_italian.lgf,electrical,33,112,17,17,0,14,1,uniform,7849.33,71166.6,906.658,OK
SNDLib_Topologies,33_optic_italian.lgf,electrical,33,112,17,17,0,14,1,gaussian,10439,88601.2,848.753,OK
SNDLib_Topologies,33_optic_italian.lgf,electrical,33,112,17,17,0,14,1,gravity,1.92761,22.2301,1153.25,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_frt,33,112,133,31,80,24,1.29167,bimodal,1011.24,8370.58,827.758,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_frt,33,112,133,31,80,24,1.29167,uniform,7849.33,73539.1,936.884,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_frt,33,112,133,31,80,24,1.29167,gaussian,10439,95866.2,918.348,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_frt,33,112,133,31,80,24,1.29167,gravity,1.92761,25.253,1310.06,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_ckr,33,112,132,0,119,27,0,bimodal,1011.24,8656.87,856.068,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_ckr,33,112,132,0,119,27,0,uniform,7849.33,77866.2,992.01,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_ckr,33,112,132,0,119,27,0,gaussian,10439,101963,976.754,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_ckr,33,112,132,0,119,27,0,gravity,1.92761,26.6566,1382.88,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_random_mst,33,112,290,0,274,29,0,bimodal,1011.24,10019.6,990.828,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_random_mst,33,112,290,0,274,29,0,uniform,7849.33,88930.7,1132.97,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_random_mst,33,112,290,0,274,29,0,gaussian,10439,112224,1075.05,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_random_mst,33,112,290,0,274,29,0,gravity,1.92761,28.009,1453.04,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_frt_mendel,33,112,308,0,244,59,0,bimodal,1011.24,9058.02,895.737,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_frt_mendel,33,112,308,0,244,59,0,uniform,7849.33,74604.1,950.451,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_frt_mendel,33,112,308,0,244,59,0,gaussian,10439,90928.2,871.045,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_frt_mendel,33,112,308,0,244,59,0,gravity,1.92761,26.1968,1359.03,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_ckr_mendel,33,112,286,0,230,59,0,bimodal,1011.24,8837.71,873.951,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_ckr_mendel,33,112,286,0,230,59,0,uniform,7849.33,73147.8,931.898,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_ckr_mendel,33,112,286,0,230,59,0,gaussian,10439,88781.8,850.483,OK
SNDLib_Topologies,33_optic_italian.lgf,raecke_ckr_mendel,33,112,286,0,230,59,0,gravity,1.92761,25.9553,1346.5,OK
