dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
SNDLib_Topologies,37_optic_european.lgf,electrical,37,114,19,19,0,13,1,bimodal,852.64,8139.56,954.631,OK
SNDLib_Topologies,37_optic_european.lgf,electrical,37,114,19,19,0,13,1,uniform,6966.46,80084.2,1149.57,OK
SNDLib_Topologies,37_optic_european.lgf,electrical,37,114,19,19,0,13,1,gaussian,8729.49,92514.7,1059.8,OK
SNDLib_Topologies,37_optic_european.lgf,electrical,37,114,19,19,0,13,1,gravity,1.94183,22.0725,1136.69,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_frt,37,114,99,29,50,22,1.27273,bimodal,852.64,9455.7,1108.99,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_frt,37,114,99,29,50,22,1.27273,uniform,6966.46,95308.5,1368.11,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_frt,37,114,99,29,50,22,1.27273,gaussian,8729.49,113355,1298.53,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_frt,37,114,99,29,50,22,1.27273,gravity,1.94183,26.3293,1355.9,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_ckr,37,114,127,0,109,26,0,bimodal,852.64,9930.92,1164.73,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_ckr,37,114,127,0,109,26,0,uniform,6966.46,102126,1465.97,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_ckr,37,114,127,0,109,26,0,gaussian,8729.49,114907,1316.31,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_ckr,37,114,127,0,109,26,0,gravity,1.94183,28.3869,1461.86,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_random_mst,37,114,116,0,101,27,0,bimodal,852.64,7485.92,877.969,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_random_mst,37,114,116,0,101,27,0,uniform,6966.46,72437.3,1039.8,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_random_mst,37,114,116,0,101,27,0,gaussian,8729.49,82166,941.246,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_random_mst,37,114,116,0,101,27,0,gravity,1.94183,19.7996,1019.64,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_frt_mendel,37,114,310,1,221,76,0.0131579,bimodal,852.64,8765.05,1027.99,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_frt_mendel,37,114,310,1,221,76,0.0131579,uniform,6966.46,86236.6,1237.88,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_frt_mendel,37,114,310,1,221,76,0.0131579,gaussian,8729.49,99907.9,1144.49,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_frt_mendel,37,114,310,1,221,76,0.0131579,gravity,1.94183,23.6032,1215.51,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_ckr_mendel,37,114,253,0,181,74,0,bimodal,852.64,9255.93,1085.56,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_ckr_mendel,37,114,253,0,181,74,0,uniform,6966.46,90905.1,1304.9,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_ckr_mendel,37,114,253,0,181,74,0,gaussian,8729.49,105083,1203.77,OK
SNDLib_Topologies,37_optic_european.lgf,raecke_ckr_mendel,37,114,253,0,181,74,0,gravity,1.94183,24.6206,1267.91,OK
