dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
SNDLib_Topologies,39_optic_north_american.lgf,electrical,39,122,20,19,0,14,1,bimodal,1118.61,8905.29,796.103,OK
SNDLib_Topologies,39_optic_north_american.lgf,electrical,39,122,20,19,0,14,1,uniform,7628.73,83627.5,1096.22,OK
SNDLib_Topologies,39_optic_north_american.lgf,electrical,39,122,20,19,0,14,1,gaussian,10250.9,103564,1010.29,OK
SNDLib_Topologies,39_optic_north_american.lgf,electrical,39,122,20,19,0,14,1,gravity,1.94464,21.7527,1118.6,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_frt,39,122,213,38,152,26,1.38462,bimodal,1118.61,11714.9,1047.27,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_frt,39,122,213,38,152,26,1.38462,uniform,7628.73,114025,1494.68,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_frt,39,122,213,38,152,26,1.38462,gaussian,10250.9,140433,1369.95,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_frt,39,122,213,38,152,26,1.38462,gravity,1.94464,29.1551,1499.26,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_ckr,39,122,143,0,126,26,0,bimodal,1118.61,9729.58,869.792,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_ckr,39,122,143,0,126,26,0,uniform,7628.73,90221.1,1182.65,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_ckr,39,122,143,0,126,26,0,gaussian,10250.9,111465,1087.36,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_ckr,39,122,143,0,126,26,0,gravity,1.94464,23.8684,1227.39,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_random_mst,39,122,247,0,233,25,0,bimodal,1118.61,10290.5,919.94,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_random_mst,39,122,247,0,233,25,0,uniform,7628.73,94850.8,1243.34,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_random_mst,39,122,247,0,233,25,0,gaussian,10250.9,117292,1144.21,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_random_mst,39,122,247,0,233,25,0,gravity,1.94464,25.1168,1291.59,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_frt_mendel,39,122,472,5,386,72,0.0416667,bimodal,1118.61,9535.68,852.458,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_frt_mendel,39,122,472,5,386,72,0.0416667,uniform,7628.73,93188.8,1221.55,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_frt_mendel,39,122,472,5,386,72,0.0416667,gaussian,10250.9,117402,1145.28,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_frt_mendel,39,122,472,5,386,72,0.0416667,gravity,1.94464,24.02,1235.19,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_ckr_mendel,39,122,601,0,527,74,0,bimodal,1118.61,9229.79,825.112,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_ckr_mendel,39,122,601,0,527,74,0,uniform,7628.73,92919,1218.01,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_ckr_mendel,39,122,601,0,527,74,0,gaussian,10250.9,116959,1140.96,OK
SNDLib_Topologies,39_optic_north_american.lgf,raecke_ckr_mendel,39,122,601,0,527,74,0,gravity,1.94464,23.8055,1224.16,OK
