dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
SNDLib_Topologies,79_optic_nfsnet.lgf,electrical,79,216,55,54,0,14,3.07143,bimodal,2907.65,39000.5,1341.31,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,electrical,79,216,55,54,0,14,3.07143,uniform,19868.5,370242,1863.46,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,electrical,79,216,55,54,0,14,3.07143,gaussian,22850.4,434906,1903.27,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,electrical,79,216,55,54,0,14,3.07143,gravity,1.97265,40.4183,2048.93,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_frt,79,216,4015,444,3534,33,13.3333,bimodal,2907.65,38318.6,1317.85,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_frt,79,216,4015,444,3534,33,13.3333,uniform,19868.5,346954,1746.25,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_frt,79,216,4015,444,3534,33,13.3333,gaussian,22850.4,401026,1755,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_frt,79,216,4015,444,3534,33,13.3333,gravity,1.97265,39.2927,1991.87,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_ckr,79,216,3346,0,3312,33,0,bimodal,2907.65,42330.7,1455.84,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_ckr,79,216,3346,0,3312,33,0,uniform,19868.5,382284,1924.07,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_ckr,79,216,3346,0,3312,33,0,gaussian,22850.4,447323,1957.61,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_ckr,79,216,3346,0,3312,33,0,gravity,1.97265,44.1619,2238.71,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_random_mst,79,216,5966,0,5937,39,0,bimodal,2907.65,57601.3,1981.02,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_random_mst,79,216,5966,0,5937,39,0,uniform,19868.5,533063,2682.95,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_random_mst,79,216,5966,0,5937,39,0,gaussian,22850.4,621059,2717.93,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_random_mst,79,216,5966,0,5937,39,0,gravity,1.97265,57.7126,2925.63,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_frt_mendel,79,216,13080,246,12720,109,2.17431,bimodal,2907.65,36635.6,1259.97,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_frt_mendel,79,216,13080,246,12720,109,2.17431,uniform,19868.5,345679,1739.83,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_frt_mendel,79,216,13080,246,12720,109,2.17431,gaussian,22850.4,407299,1782.45,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_frt_mendel,79,216,13080,246,12720,109,2.17431,gravity,1.97265,37.0733,1879.36,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_ckr_mendel,79,216,9848,109,9640,104,0.942308,bimodal,2907.65,34367,1181.95,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_ckr_mendel,79,216,9848,109,9640,104,0.942308,uniform,19868.5,323865,1630.04,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_ckr_mendel,79,216,9848,109,9640,104,0.942308,gaussian,22850.4,379603,1661.25,OK
SNDLib_Topologies,79_optic_nfsnet.lgf,raecke_ckr_mendel,79,216,9848,109,9640,104,0.942308,gravity,1.97265,35.1379,1781.25,OK
