dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
SNDLib_Topologies,05_test.lgf,electrical,5,14,1.0,1.0,0.0,11.0,0.0,bimodal,416.443,417.423,100.235,OK
SNDLib_Topologies,05_test.lgf,electrical,5,14,1.0,1.0,0.0,11.0,0.0,uniform,926.429,905.977,97.7924,OK
SNDLib_Topologies,05_test.lgf,electrical,5,14,1.0,1.0,0.0,11.0,0.0,gaussian,851.899,716.885,84.1513,OK
SNDLib_Topologies,05_test.lgf,electrical,5,14,1.0,1.0,0.0,11.0,0.0,gravity,1.59184,1.44822,90.978,OK
SNDLib_Topologies,05_test.lgf,raecke_frt,5,14,0.0,0.0,0.0,6.0,0.0,bimodal,416.443,989.077,237.506,OK
SNDLib_Topologies,05_test.lgf,raecke_frt,5,14,0.0,0.0,0.0,6.0,0.0,uniform,926.429,2161.13,233.276,OK
SNDLib_Topologies,05_test.lgf,raecke_frt,5,14,0.0,0.0,0.0,6.0,0.0,gaussian,851.899,2348.15,275.637,OK
SNDLib_Topologies,05_test.lgf,raecke_frt,5,14,0.0,0.0,0.0,6.0,0.0,gravity,1.59184,3.83333,240.812,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr,5,14,0.0,0.0,0.0,7.0,0.0,bimodal,416.443,945.447,227.029,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr,5,14,0.0,0.0,0.0,7.0,0.0,uniform,926.429,2323.62,250.815,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr,5,14,0.0,0.0,0.0,7.0,0.0,gaussian,851.899,2679.03,314.477,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr,5,14,0.0,0.0,0.0,7.0,0.0,gravity,1.59184,4.125,259.135,OK
SNDLib_Topologies,05_test.lgf,raecke_random_mst,5,14,0.0,0.0,0.0,6.0,0.0,bimodal,416.443,1483.35,356.195,OK
SNDLib_Topologies,05_test.lgf,raecke_random_mst,5,14,0.0,0.0,0.0,6.0,0.0,uniform,926.429,2785.7,300.692,OK
SNDLib_Topologies,05_test.lgf,raecke_random_mst,5,14,0.0,0.0,0.0,6.0,0.0,gaussian,851.899,2434.0,285.714,OK
SNDLib_Topologies,05_test.lgf,raecke_random_mst,5,14,0.0,0.0,0.0,6.0,0.0,gravity,1.59184,4.60544,289.316,OK
SNDLib_Topologies,05_test.lgf,raecke_frt_mendel,5,14,0.0,0.0,0.0,11.0,0.0,bimodal,416.443,897.307,215.469,OK
SNDLib_Topologies,05_test.lgf,raecke_frt_mendel,5,14,0.0,0.0,0.0,11.0,0.0,uniform,926.429,2226.33,240.313,OK
SNDLib_Topologies,05_test.lgf,raecke_frt_mendel,5,14,0.0,0.0,0.0,11.0,0.0,gaussian,851.899,1953.27,229.284,OK
SNDLib_Topologies,05_test.lgf,raecke_frt_mendel,5,14,0.0,0.0,0.0,11.0,0.0,gravity,1.59184,3.74048,234.979,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr_mendel,5,14,0.0,0.0,0.0,10.0,0.0,bimodal,416.443,901.775,216.542,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr_mendel,5,14,0.0,0.0,0.0,10.0,0.0,uniform,926.429,2210.7,238.626,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr_mendel,5,14,0.0,0.0,0.0,10.0,0.0,gaussian,851.899,2195.31,257.695,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr_mendel,5,14,0.0,0.0,0.0,10.0,0.0,gravity,1.59184,3.79524,238.419,OK
SNDLib_Topologies,10_test_pcycle.lgf,electrical,10,44,3.0,3.0,0.0,15.0,0.0,bimodal,307.353,139.141,45.2706,OK
SNDLib_Topologies,10_test_pcycle.lgf,electrical,10,44,3.0,3.0,0.0,15.0,0.0,uniform,1257.33,1510.18,120.11,OK
SNDLib_Topologies,10_test_pcycle.lgf,electrical,10,44,3.0,3.0,0.0,15.0,0.0,gaussian,1410.29,1596.09,113.174,OK
SNDLib_Topologies,10_test_pcycle.lgf,electrical,10,44,3.0,3.0,0.0,15.0,0.0,gravity,1.78926,2.38722,133.42,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_frt,10,44,1.0,0.0,0.0,12.0,0.0,bimodal,307.353,618.751,201.316,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_frt,10,44,1.0,0.0,0.0,12.0,0.0,uniform,1257.33,5798.12,461.144,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_frt,10,44,1.0,0.0,0.0,12.0,0.0,gaussian,1410.29,6102.38,432.703,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_frt,10,44,1.0,0.0,0.0,12.0,0.0,gravity,1.78926,9.03425,504.916,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_ckr,10,44,2.0,0.0,0.0,14.0,0.0,bimodal,307.353,724.648,235.77,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_ckr,10,44,2.0,0.0,0.0,14.0,0.0,uniform,1257.33,6345.7,504.695,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_ckr,10,44,2.0,0.0,0.0,14.0,0.0,gaussian,1410.29,6540.3,463.754,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_ckr,10,44,2.0,0.0,0.0,14.0,0.0,gravity,1.78926,8.47683,473.763,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_random_mst,10,44,2.0,0.0,0.0,17.0,0.0,bimodal,307.353,739.888,240.729,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_random_mst,10,44,2.0,0.0,0.0,17.0,0.0,uniform,1257.33,6358.28,505.695,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_random_mst,10,44,2.0,0.0,0.0,17.0,0.0,gaussian,1410.29,7371.63,522.701,OK
SNDLib_Topologies,10_test_pcycle.lgf,raecke_random_mst,10,44,2.0,0.0,0.0,17.0,0.0,gravity,1.78926,8.06831,450.931,OK
