dataset,graph,solver,demand,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,achieved_congestion,offline_opt_value,status
yates,3cycle.lgf,electrical,gravity,12,1,0,0,8,0,2.25376,1.58333,OK
yates,3cycle.lgf,electrical,bimodal,12,1,1,0,8,0,861.511,495.837,OK
yates,3cycle.lgf,frt,gravity,12,0,0,0,4,0,4,1.58333,OK
yates,3cycle.lgf,frt,bimodal,12,0,0,0,4,0,808.994,459.046,OK
yates,3cycle.lgf,ckr,gravity,12,0,0,0,4,0,5.33333,1.58333,OK
yates,3cycle.lgf,ckr,bimodal,12,0,0,0,4,0,558.585,427.911,OK
yates,3cycle.lgf,mst,gravity,12,0,0,0,3,0,5.33333,1.58333,OK
yates,3cycle.lgf,mst,bimodal,12,0,0,0,3,0,769.684,419.026,OK
yates,3cycle.lgf,frt_mendel,gravity,12,0,0,0,4,0,5.33333,1.58333,OK
yates,3cycle.lgf,frt_mendel,bimodal,12,0,0,0,4,0,609.444,486.058,OK
yates,3cycle.lgf,ckr_mendel,gravity,12,0,0,0,4,0,5.45833,1.58333,OK
yates,3cycle.lgf,ckr_mendel,bimodal,12,0,0,0,4,0,280.96,89.6506,OK
yates,3cycle.lgf,lp,gravity,12,5,NaN,NaN,NaN,NaN,2.66667,1.58333,OK
yates,3cycle.lgf,lp,bimodal,12,5,NaN,NaN,NaN,NaN,201.339,80.3513,OK
yates,4cycle.lgf,electrical,gravity,16,1,1,0,8,0,2.06521,1.6875,OK
yates,4cycle.lgf,electrical,bimodal,16,1,1,0,8,0,359.551,482.836,OK
yates,4cycle.lgf,frt,gravity,16,0,0,0,4,0,7.1875,1.6875,OK
yates,4cycle.lgf,frt,bimodal,16,0,0,0,4,0,1261.26,775.499,OK
yates,4cycle.lgf,ckr,gravity,16,0,0,0,5,0,7.16667,1.6875,OK
yates,4cycle.lgf,ckr,bimodal,16,0,0,0,4,0,382.418,114.931,OK
yates,4cycle.lgf,mst,gravity,16,0,0,0,4,0,7.25,1.6875,OK
yates,4cycle.lgf,mst,bimodal,16,0,0,0,4,0,732.862,195.853,OK
yates,4cycle.lgf,frt_mendel,gravity,16,0,0,0,9,0,5.46667,1.6875,OK
yates,4cycle.lgf,frt_mendel,bimodal,16,0,0,0,9,0,756.733,456.921,OK
yates,4cycle.lgf,ckr_mendel,gravity,16,1,0,0,10,0,5.78333,1.6875,OK
yates,4cycle.lgf,ckr_mendel,bimodal,16,0,0,0,10,0,954.183,505.988,OK
yates,3cycle.lgf,electrical,gravity,12,1,1,0,8,0,1.83333,1.58333,OK
yates,3cycle.lgf,electrical,gaussian,12,1,1,0,8,0,2277.53,1609.19,OK
yates,3cycle.lgf,electrical,uniform,12,1,1,0,8,0,3499,1829,OK
yates,3cycle.lgf,electrical,bimodal,12,1,1,0,8,0,123.261,102.645,OK
yates,3cycle.lgf,frt,gravity,12,0,0,0,4,0,4,1.58333,OK
yates,3cycle.lgf,frt,gaussian,12,0,0,0,4,0,3985.02,2280.09,OK
yates,3cycle.lgf,frt,uniform,12,0,0,0,4,0,3916,1634,OK
yates,3cycle.lgf,frt,bimodal,12,0,0,0,4,0,794.851,446.761,OK
yates,3cycle.lgf,ckr,gravity,12,0,0,0,4,0,5.33333,1.58333,OK
yates,3cycle.lgf,ckr,gaussian,12,0,0,0,4,0,5535.61,1738.61,OK
yates,3cycle.lgf,ckr,uniform,12,0,0,0,4,0,5247,2000,OK
yates,3cycle.lgf,ckr,bimodal,12,0,0,0,4,0,164.858,55.7372,OK
yates,3cycle.lgf,mst,gravity,12,0,0,0,3,0,5.33333,1.58333,OK
yates,3cycle.lgf,mst,gaussian,12,0,0,0,3,0,7690.39,2979.8,OK
yates,3cycle.lgf,mst,uniform,12,0,0,0,3,0,4529.25,1788,OK
yates,3cycle.lgf,mst,bimodal,12,0,0,0,3,0,179.861,79.038,OK
yates,3cycle.lgf,frt_mendel,gravity,12,0,0,0,4,0,5.33333,1.58333,OK
yates,3cycle.lgf,frt_mendel,gaussian,12,0,0,0,4,0,6269.03,2844.28,OK
yates,3cycle.lgf,frt_mendel,uniform,12,0,0,0,4,0,4786,1470,OK
yates,3cycle.lgf,frt_mendel,bimodal,12,0,0,0,4,0,1874.44,451.217,OK
yates,3cycle.lgf,ckr_mendel,gravity,12,0,0,0,5,0,5.29167,1.58333,OK
yates,3cycle.lgf,ckr_mendel,gaussian,12,0,0,0,5,0,5266.49,2518.64,OK
yates,3cycle.lgf,ckr_mendel,uniform,12,0,0,0,5,0,4256.25,1399,OK
yates,3cycle.lgf,ckr_mendel,bimodal,12,0,0,0,5,0,956.5,896.52,OK
yates,3cycle.lgf,lp,gravity,12,6,NaN,NaN,NaN,NaN,2.66667,1.58333,OK
yates,3cycle.lgf,lp,gaussian,12,5,NaN,NaN,NaN,NaN,4255.78,2076.43,OK
yates,3cycle.lgf,lp,uniform,12,5,NaN,NaN,NaN,NaN,3376,1815,OK
