dataset,graph,solver,demand,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,achieved_congestion,offline_opt_value,status
Backbone,Backbone/1221.lgf,electrical,bimodal,18,3,2,1,9,0,22.1247,6.6288,OK
Backbone,Backbone/1221.lgf,ckr,bimodal,18,1,0,1,7,0,19.1788,12.6946,OK
Backbone,Backbone/1221.lgf,frt,bimodal,18,6,6,0,4,1,11.8517,5.28509,OK
Backbone,Backbone/1221.lgf,random_mst,bimodal,18,1,0,1,7,0,7.56908,3.07481,OK
Backbone,Backbone/1221.lgf,lp,bimodal,18,24,NaN,NaN,NaN,NaN,25.6739,6.8086,OK
Backbone,Backbone/1239.lgf,electrical,bimodal,138,42,40,2,16,2,311.187,38.7294,OK
Backbone,Backbone/1239.lgf,ckr,bimodal,138,23304,27,23277,59,0,112.842,50.6002,OK
Backbone,Backbone/1239.lgf,frt,bimodal,138,128050,123235,4815,35,3520.46,96.1073,37.6173,OK
Backbone,Backbone/1239.lgf,random_mst,bimodal,138,20940,8,20932,49,0.0204082,164.078,98.1703,OK
Backbone,Backbone/1239.lgf,lp,bimodal,138,196928,NaN,NaN,NaN,NaN,148.382,60.0791,OK
Backbone,Backbone/1755.lgf,electrical,bimodal,66,14,13,1,13,0.230769,147.079,26.4805,OK
Backbone,Backbone/1755.lgf,ckr,bimodal,66,265,5,260,25,0,166.209,20.3463,OK
Backbone,Backbone/1755.lgf,frt,bimodal,66,4094,3702,392,23,160.435,75.0643,25.3991,OK
Backbone,Backbone/1755.lgf,random_mst,bimodal,66,311,1,310,22,0,80.4895,28.7597,OK
Backbone,Backbone/1755.lgf,lp,bimodal,66,16950,NaN,NaN,NaN,NaN,66.4203,28.9677,OK
Backbone,Backbone/3257.lgf,electrical,bimodal,128,37,36,1,16,2,195.542,17.0066,OK
Backbone,Backbone/3257.lgf,ckr,bimodal,128,8236,29,8207,73,0,49.069,18.811,OK
Backbone,Backbone/3257.lgf,frt,bimodal,128,69860,68736,1124,31,2216.61,43.1757,29.0785,OK
Backbone,Backbone/3257.lgf,random_mst,bimodal,128,14462,11,14451,71,0,43.0515,24.9269,OK
Backbone,Backbone/3257.lgf,lp,bimodal,128,115219,NaN,NaN,NaN,NaN,50.1201,37.6583,OK
Backbone,Backbone/3967.lgf,electrical,bimodal,72,15,14,1,12,1,281.136,29.8231,OK
Backbone,Backbone/3967.lgf,ckr,bimodal,72,760,10,750,37,0,145.943,47.7963,OK
Backbone,Backbone/3967.lgf,frt,bimodal,72,7123,6973,150,17,409.706,86.8918,52.9316,OK
Backbone,Backbone/3967.lgf,random_mst,bimodal,72,220,1,219,19,0,160.434,86.757,OK
Backbone,Backbone/3967.lgf,lp,bimodal,72,38077,NaN,NaN,NaN,NaN,120.305,31.4028,OK
Backbone,Backbone/6461.lgf,electrical,bimodal,74,16,15,1,14,0.214286,60.9416,5.95844,OK
Backbone,Backbone/6461.lgf,ckr,bimodal,74,418,9,409,46,0,39.4744,10.3395,OK
Backbone,Backbone/6461.lgf,frt,bimodal,74,3468,3393,75,16,211.5,28.3597,6.57089,OK
Backbone,Backbone/6461.lgf,random_mst,bimodal,74,427,2,425,33,0,21.5252,10.3942,OK
Backbone,Backbone/6461.lgf,lp,bimodal,74,7467,NaN,NaN,NaN,NaN,51.3428,13.6052,OK
Backbone,Backbone/Arnes.lgf,electrical,bimodal,114,43,41,2,12,3.08333,963.36,72.1175,OK
Backbone,Backbone/Arnes.lgf,ckr,bimodal,114,7041,26,7015,49,0,589.1,101.45,OK
Backbone,Backbone/Arnes.lgf,frt,bimodal,114,165818,164859,959,23,7167.13,356.627,128.419,OK
Backbone,Backbone/Arnes.lgf,random_mst,bimodal,114,3901,6,3895,36,0,231.126,44.8069,OK
Backbone,Backbone/Arnes.lgf,lp,bimodal,114,416886,NaN,NaN,NaN,NaN,654.164,46.4612,OK
Backbone,Backbone/BBNPlanet.lgf,electrical,bimodal,56,12,11,1,8,1,13442,1499.06,OK
Backbone,Backbone/BBNPlanet.lgf,ckr,bimodal,56,168,6,162,19,0,3933.63,1522.6,OK
Backbone,Backbone/BBNPlanet.lgf,frt,bimodal,56,8767,8697,70,10,869.2,4051.93,1403.4,OK
Backbone,Backbone/BBNPlanet.lgf,random_mst,bimodal,56,116,1,115,15,0,6167.81,1589.22,OK
Backbone,Backbone/BBNPlanet.lgf,lp,bimodal,56,16815,NaN,NaN,NaN,NaN,5660.99,1574.73,OK
Backbone,Backbone/BICS.lgf,electrical,bimodal,96,26,24,2,11,2,9733.47,1250.51,OK
Backbone,Backbone/BICS.lgf,ckr,bimodal,96,2987,34,2953,71,0,2521.03,916.908,OK
Backbone,Backbone/BICS.lgf,frt,bimodal,96,62647,62136,511,18,3451.44,2516.66,1484.04,OK
Backbone,Backbone/BICS.lgf,random_mst,bimodal,96,714,3,711,23,0,1459.19,1231.28,OK
