dataset,graph,solver,demand,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,achieved_congestion,offline_opt_value,status
Backbone,Backbone/1221_modified.lgf,electrical,gravity,620,667,648,19,27,23.4074,10.8184,1.97414,OK
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,electrical,gravity,620,545,537,8,27,19.3704,11.1211,1.97414,OK
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,electrical,gaussian,620,564,556,8,27,20.2593,49402.7,8901.24,OK
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,electrical,uniform,620,544,537,7,27,19.2963,41250.9,7809.33,OK
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,electrical,bimodal,620,637,627,10,27,22.5556,4887.03,1039.4,OK
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,frt,gravity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,frt,gaussian,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,frt,uniform,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,frt,bimodal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,ckr,gravity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,ckr,gaussian,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SEGFAULT
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,ckr,uniform,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SEGFAULT
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,ckr,bimodal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,cohen,gravity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,cohen,gaussian,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,cohen,uniform,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1221_modified.lgf,cohen,bimodal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1239_modified.lgf,electrical,gravity,2068,26718,26669,49,35,761.486,37.1957,1.99314,OK
real_data_12x,real_data_12x/Backbone/1239_modified.lgf,electrical,gaussian,2068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1239_modified.lgf,electrical,uniform,2068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1239_modified.lgf,electrical,bimodal,2068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1239_modified.lgf,frt,gravity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1239_modified.lgf,frt,gaussian,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1239_modified.lgf,frt,uniform,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1239_modified.lgf,frt,bimodal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
real_data_12x,real_data_12x/Backbone/1239_modified.lgf,ckr,gravity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SEGFAULT
real_data_12x,real_data_12x/Backbone/1239_modified.lgf,ckr,gaussian,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SEGFAULT
real_data_12x,real_data_12x/Backbone/1239_modified.lgf,ckr,uniform,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SEGFAULT
real_data_12x,real_data_12x/Backbone/1239_modified.lgf,ckr,bimodal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SEGFAULT
real_data_12x,real_data_12x/Backbone/1239_modified.lgf,cohen,gravity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
