dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,mendel_total_ms,mendel_avg_ms,oblivious_ratio,demand_model,offline_opt,achieved_congestion,ratio_pct,status
Backbone,1221.lgf,electrical,7,18,3,2,0,10,0.1,NaN,NaN,3.65806,uniform,37353.8,434900,1164.27,OK
Backbone,1221.lgf,electrical,7,18,3,2,0,10,0.1,NaN,NaN,3.65806,bimodal,4880.4,29950.6,613.692,OK
Backbone,1221.lgf,electrical,7,18,3,2,0,10,0.1,NaN,NaN,3.65806,gaussian,48113.4,469251,975.302,OK
Backbone,1221.lgf,electrical,7,18,3,2,0,10,0.1,NaN,NaN,3.65806,gravity,1.69925,18.3206,1078.16,OK
Backbone,1221.lgf,raecke_frt,7,18,0,0,0,5,0,NaN,NaN,1.81258,uniform,37353.8,434900,1164.27,OK
Backbone,1221.lgf,raecke_frt,7,18,0,0,0,5,0,NaN,NaN,1.81258,bimodal,4880.4,17415.8,356.851,OK
Backbone,1221.lgf,raecke_frt,7,18,0,0,0,5,0,NaN,NaN,1.81258,gaussian,48113.4,469251,975.302,OK
Backbone,1221.lgf,raecke_frt,7,18,0,0,0,5,0,NaN,NaN,1.81258,gravity,1.69925,18.3206,1078.16,OK
Backbone,1221.lgf,raecke_ckr,7,18,0,0,0,6,0,NaN,NaN,1.825,uniform,37353.8,434900,1164.27,OK
Backbone,1221.lgf,raecke_ckr,7,18,0,0,0,6,0,NaN,NaN,1.825,bimodal,4880.4,17415.8,356.851,OK
Backbone,1221.lgf,raecke_ckr,7,18,0,0,0,6,0,NaN,NaN,1.825,gaussian,48113.4,469251,975.302,OK
Backbone,1221.lgf,raecke_ckr,7,18,0,0,0,6,0,NaN,NaN,1.825,gravity,1.69925,18.3206,1078.16,OK
Backbone,1221.lgf,raecke_random_mst,7,18,0,0,0,5,0,NaN,NaN,2.42443,uniform,37353.8,434900,1164.27,OK
Backbone,1221.lgf,raecke_random_mst,7,18,0,0,0,5,0,NaN,NaN,2.42443,bimodal,4880.4,17466.2,357.884,OK
Backbone,1221.lgf,raecke_random_mst,7,18,0,0,0,5,0,NaN,NaN,2.42443,gaussian,48113.4,469251,975.302,OK
Backbone,1221.lgf,raecke_random_mst,7,18,0,0,0,5,0,NaN,NaN,2.42443,gravity,1.69925,18.3206,1078.16,OK
Backbone,1221.lgf,raecke_frt_mendel,7,18,1,0,0,19,0,0,0,2,uniform,37353.8,434900,1164.27,OK
Backbone,1221.lgf,raecke_frt_mendel,7,18,1,0,0,19,0,0,0,2,bimodal,4880.4,17415.8,356.851,OK
Backbone,1221.lgf,raecke_frt_mendel,7,18,1,0,0,19,0,0,0,2,gaussian,48113.4,469251,975.302,OK
Backbone,1221.lgf,raecke_frt_mendel,7,18,1,0,0,19,0,0,0,2,gravity,1.69925,18.3206,1078.16,OK
Backbone,1221.lgf,raecke_ckr_mendel,7,18,0,0,0,15,0,0,0,2.12571,uniform,37353.8,434900,1164.27,OK
Backbone,1221.lgf,raecke_ckr_mendel,7,18,0,0,0,15,0,0,0,2.12571,bimodal,4880.4,17415.8,356.851,OK
Backbone,1221.lgf,raecke_ckr_mendel,7,18,0,0,0,15,0,0,0,2.12571,gaussian,48113.4,469251,975.302,OK
Backbone,1221.lgf,raecke_ckr_mendel,7,18,0,0,0,15,0,0,0,2.12571,gravity,1.69925,18.3206,1078.16,OK
Backbone,1239.lgf,electrical,30,138,28,28,0,17,1.05882,NaN,NaN,26.7777,uniform,242395,6.84446e+06,2823.68,OK
Backbone,1239.lgf,electrical,30,138,28,28,0,17,1.05882,NaN,NaN,26.7777,bimodal,20021.1,791200,3951.83,OK
Backbone,1239.lgf,electrical,30,138,28,28,0,17,1.05882,NaN,NaN,26.7777,gaussian,350444,8.80309e+06,2511.98,OK
Backbone,1239.lgf,electrical,30,138,28,28,0,17,1.05882,NaN,NaN,26.7777,gravity,1.91807,95.1505,4960.74,OK
Backbone,1239.lgf,raecke_frt,30,138,83,34,16,33,1.0303,NaN,NaN,5.37103,uniform,242395,3.21188e+06,1325.06,OK
