dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,mendel_total_ms,mendel_avg_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
Backbone,1221.lgf,lp,7,18,17,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,6002.65,27874.3,464.366,OK
Backbone,1221.lgf,lp,7,18,17,NaN,NaN,NaN,NaN,NaN,NaN,uniform,33223.3,235700,709.442,OK
Backbone,1221.lgf,lp,7,18,17,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,40815.9,324734,795.606,OK
Backbone,1221.lgf,lp,7,18,17,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.69925,11.9275,701.928,OK
Backbone,1221.lgf,lp,7,18,14,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,8322.42,72794.3,874.677,OK
Backbone,1221.lgf,lp,7,18,14,NaN,NaN,NaN,NaN,NaN,NaN,uniform,36098.1,257450,713.196,OK
Backbone,1221.lgf,lp,7,18,14,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,48522.2,304320,627.177,OK
Backbone,1221.lgf,lp,7,18,14,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.69925,11.9275,701.928,OK
Backbone,1239.lgf,lp,30,138,87435,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,33877.3,212769,628.056,OK
Backbone,1239.lgf,lp,30,138,87435,NaN,NaN,NaN,NaN,NaN,NaN,uniform,268983,2.32713e+06,865.159,OK
Backbone,1239.lgf,lp,30,138,87435,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,249613,2.9245e+06,1171.61,OK
Backbone,1239.lgf,lp,30,138,87435,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.91807,27.4443,1430.83,OK
Backbone,1239.lgf,lp,30,138,135586,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,57468.8,230057,400.317,OK
Backbone,1239.lgf,lp,30,138,135586,NaN,NaN,NaN,NaN,NaN,NaN,uniform,245086,2.29113e+06,934.828,OK
Backbone,1239.lgf,lp,30,138,135586,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,300210,2.51016e+06,836.133,OK
Backbone,1239.lgf,lp,30,138,135586,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.91807,27.4443,1430.83,OK
Backbone,1755.lgf,lp,18,66,9448,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,20464.5,71675.9,350.245,OK
Backbone,1755.lgf,lp,18,66,9448,NaN,NaN,NaN,NaN,NaN,NaN,uniform,159204,656010,412.057,OK
Backbone,1755.lgf,lp,18,66,9448,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,162766,599970,368.609,OK
Backbone,1755.lgf,lp,18,66,9448,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.8624,7.90494,424.449,OK
Backbone,1755.lgf,lp,18,66,10125,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,20035.4,68159.8,340.198,OK
Backbone,1755.lgf,lp,18,66,10125,NaN,NaN,NaN,NaN,NaN,NaN,uniform,192986,779400,403.864,OK
Backbone,1755.lgf,lp,18,66,10125,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,269920,1.05166e+06,389.62,OK
Backbone,1755.lgf,lp,18,66,10125,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.8624,7.90494,424.449,OK
Backbone,3257.lgf,lp,27,128,63654,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,75909.7,197598,260.306,OK
Backbone,3257.lgf,lp,27,128,63654,NaN,NaN,NaN,NaN,NaN,NaN,uniform,399000,971355,243.447,OK
Backbone,3257.lgf,lp,27,128,63654,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,517709,1.13118e+06,218.497,OK
Backbone,3257.lgf,lp,27,128,63654,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.88445,20.8207,1104.87,OK
Backbone,3257.lgf,lp,27,128,88815,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,42697.4,102598,240.292,OK
Backbone,3257.lgf,lp,27,128,88815,NaN,NaN,NaN,NaN,NaN,NaN,uniform,361095,899760,249.175,OK
Backbone,3257.lgf,lp,27,128,88815,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,433305,1.55125e+06,358.005,OK
Backbone,3257.lgf,lp,27,128,88815,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.88445,20.8207,1104.87,OK
Backbone,3967.lgf,lp,21,72,23329,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,31265.2,185144,592.175,OK
Backbone,3967.lgf,lp,21,72,23329,NaN,NaN,NaN,NaN,NaN,NaN,uniform,217429,1.97643e+06,909.003,OK
Backbone,3967.lgf,lp,21,72,23329,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,224906,2.11155e+06,938.86,OK
Backbone,3967.lgf,lp,21,72,23329,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.88442,27.7176,1470.88,OK
Backbone,3967.lgf,lp,21,72,24589,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,85369.2,231441,271.106,OK
Backbone,3967.lgf,lp,21,72,24589,NaN,NaN,NaN,NaN,NaN,NaN,uniform,252709,1.98367e+06,784.964,OK
Backbone,3967.lgf,lp,21,72,24589,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,223354,1.94503e+06,870.828,OK
Backbone,3967.lgf,lp,21,72,24589,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.88442,27.7176,1470.88,OK
Backbone,6461.lgf,lp,17,74,4326,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,19652.2,90809.3,462.081,OK
Backbone,6461.lgf,lp,17,74,4326,NaN,NaN,NaN,NaN,NaN,NaN,uniform,179581,769000,428.218,OK
Backbone,6461.lgf,lp,17,74,4326,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,243209,831631,341.941,OK
Backbone,6461.lgf,lp,17,74,4326,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.85941,20.5276,1103.99,OK
Backbone,6461.lgf,lp,17,74,4604,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,46645.7,125448,268.938,OK
Backbone,6461.lgf,lp,17,74,4604,NaN,NaN,NaN,NaN,NaN,NaN,uniform,197239,757750,384.178,OK
Backbone,6461.lgf,lp,17,74,4604,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,188645,825579,437.636,OK
Backbone,6461.lgf,lp,17,74,4604,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.85941,20.5276,1103.99,OK
Backbone,Arnes.lgf,lp,41,114,273128,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,224999,630021,280.011,OK
Backbone,Arnes.lgf,lp,41,114,273128,NaN,NaN,NaN,NaN,NaN,NaN,uniform,1.3544e+06,5.17005e+06,381.723,OK
Backbone,Arnes.lgf,lp,41,114,273128,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,1.79958e+06,5.86898e+06,326.13,OK
