dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,mendel_total_ms,mendel_avg_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
Rocketfuel_Topologies,3967.lgf,lp,21,72,24359,24359,NaN,NaN,NaN,NaN,NaN,bimodal,18706,80126.6,428.347,OK
Rocketfuel_Topologies,3967.lgf,lp,21,72,24359,24359,NaN,NaN,NaN,NaN,NaN,uniform,277200,1.64614e+06,593.845,OK
Rocketfuel_Topologies,3967.lgf,lp,21,72,24359,24359,NaN,NaN,NaN,NaN,NaN,gaussian,252508,2.08693e+06,826.483,OK
Rocketfuel_Topologies,3967.lgf,lp,21,72,24359,24359,NaN,NaN,NaN,NaN,NaN,gravity,1.88442,27.3019,1448.82,OK
Rocketfuel_Topologies,3967.lgf,lp,21,72,24209,24209,NaN,NaN,NaN,NaN,NaN,bimodal,36569.9,326325,892.333,OK
Rocketfuel_Topologies,3967.lgf,lp,21,72,24209,24209,NaN,NaN,NaN,NaN,NaN,uniform,205853,1.54551e+06,750.786,OK
Rocketfuel_Topologies,3967.lgf,lp,21,72,24209,24209,NaN,NaN,NaN,NaN,NaN,gaussian,264804,2.55607e+06,965.269,OK
Rocketfuel_Topologies,3967.lgf,lp,21,72,24209,24209,NaN,NaN,NaN,NaN,NaN,gravity,1.88442,27.3019,1448.82,OK
Rocketfuel_Topologies,AS1239.lgf,lp,30,138,93121,93121,NaN,NaN,NaN,NaN,NaN,bimodal,1149.69,3339.01,290.427,OK
Rocketfuel_Topologies,AS1239.lgf,lp,30,138,93121,93121,NaN,NaN,NaN,NaN,NaN,uniform,5785.11,35498,613.61,OK
Rocketfuel_Topologies,AS1239.lgf,lp,30,138,93121,93121,NaN,NaN,NaN,NaN,NaN,gaussian,6613.66,41563,628.441,OK
Rocketfuel_Topologies,AS1239.lgf,lp,30,138,93121,93121,NaN,NaN,NaN,NaN,NaN,gravity,1.91178,13.2029,690.606,OK
Rocketfuel_Topologies,AS1239.lgf,lp,30,138,100134,100134,NaN,NaN,NaN,NaN,NaN,bimodal,770.475,4898.97,635.838,OK
Rocketfuel_Topologies,AS1239.lgf,lp,30,138,100134,100134,NaN,NaN,NaN,NaN,NaN,uniform,6096.33,33162,543.966,OK
Rocketfuel_Topologies,AS1239.lgf,lp,30,138,100134,100134,NaN,NaN,NaN,NaN,NaN,gaussian,7766.04,42182.7,543.169,OK
Rocketfuel_Topologies,AS1239.lgf,lp,30,138,100134,100134,NaN,NaN,NaN,NaN,NaN,gravity,1.91178,13.2029,690.606,OK
Rocketfuel_Topologies,AS1755.lgf,lp,18,66,7848,7848,NaN,NaN,NaN,NaN,NaN,bimodal,503.553,1430.44,284.07,OK
Rocketfuel_Topologies,AS1755.lgf,lp,18,66,7848,7848,NaN,NaN,NaN,NaN,NaN,uniform,3585.67,7809,217.784,OK
Rocketfuel_Topologies,AS1755.lgf,lp,18,66,7848,7848,NaN,NaN,NaN,NaN,NaN,gaussian,4603.95,10393.8,225.758,OK
Rocketfuel_Topologies,AS1755.lgf,lp,18,66,7848,7848,NaN,NaN,NaN,NaN,NaN,gravity,1.87052,6.72727,359.647,OK
Rocketfuel_Topologies,AS1755.lgf,lp,18,66,7798,7798,NaN,NaN,NaN,NaN,NaN,bimodal,487.436,1521.55,312.154,OK
Rocketfuel_Topologies,AS1755.lgf,lp,18,66,7798,7798,NaN,NaN,NaN,NaN,NaN,uniform,3468,8712.64,251.23,OK
Rocketfuel_Topologies,AS1755.lgf,lp,18,66,7798,7798,NaN,NaN,NaN,NaN,NaN,gaussian,3951.38,9990.83,252.844,OK
Rocketfuel_Topologies,AS1755.lgf,lp,18,66,7798,7798,NaN,NaN,NaN,NaN,NaN,gravity,1.87052,6.72727,359.647,OK
Rocketfuel_Topologies,AS3257.lgf,lp,27,128,63801,63801,NaN,NaN,NaN,NaN,NaN,bimodal,599.771,1295.4,215.983,OK
Rocketfuel_Topologies,AS3257.lgf,lp,27,128,63801,63801,NaN,NaN,NaN,NaN,NaN,uniform,5257.67,14226,270.576,OK
Rocketfuel_Topologies,AS3257.lgf,lp,27,128,63801,63801,NaN,NaN,NaN,NaN,NaN,gaussian,5368.22,16232.4,302.38,OK
Rocketfuel_Topologies,AS3257.lgf,lp,27,128,63801,63801,NaN,NaN,NaN,NaN,NaN,gravity,1.87451,9.9375,530.138,OK
Rocketfuel_Topologies,AS3257.lgf,lp,27,128,67146,67146,NaN,NaN,NaN,NaN,NaN,bimodal,551.57,1658.88,300.755,OK
Rocketfuel_Topologies,AS3257.lgf,lp,27,128,67146,67146,NaN,NaN,NaN,NaN,NaN,uniform,5547,13639,245.881,OK
Rocketfuel_Topologies,AS3257.lgf,lp,27,128,67146,67146,NaN,NaN,NaN,NaN,NaN,gaussian,5404.61,16723.4,309.429,OK
Rocketfuel_Topologies,AS3257.lgf,lp,27,128,67146,67146,NaN,NaN,NaN,NaN,NaN,gravity,1.87451,9.9375,530.138,OK
Rocketfuel_Topologies,AS3967.lgf,lp,21,72,16716,16716,NaN,NaN,NaN,NaN,NaN,bimodal,713.003,2789.65,391.253,OK
Rocketfuel_Topologies,AS3967.lgf,lp,21,72,16716,16716,NaN,NaN,NaN,NaN,NaN,uniform,4135.67,12118.8,293.031,OK
Rocketfuel_Topologies,AS3967.lgf,lp,21,72,16716,16716,NaN,NaN,NaN,NaN,NaN,gaussian,5038.44,12819,254.424,OK
Rocketfuel_Topologies,AS3967.lgf,lp,21,72,16716,16716,NaN,NaN,NaN,NaN,NaN,gravity,1.88812,5.91552,313.303,OK
Rocketfuel_Topologies,AS3967.lgf,lp,21,72,17463,17463,NaN,NaN,NaN,NaN,NaN,bimodal,877.094,1917.36,218.604,OK
Rocketfuel_Topologies,AS3967.lgf,lp,21,72,17463,17463,NaN,NaN,NaN,NaN,NaN,uniform,3994,12214,305.809,OK
Rocketfuel_Topologies,AS3967.lgf,lp,21,72,17463,17463,NaN,NaN,NaN,NaN,NaN,gaussian,4463.95,14244.5,319.102,OK
Rocketfuel_Topologies,AS3967.lgf,lp,21,72,17463,17463,NaN,NaN,NaN,NaN,NaN,gravity,1.88812,5.91552,313.303,OK
Rocketfuel_Topologies,AS6461.lgf,lp,17,74,4556,4556,NaN,NaN,NaN,NaN,NaN,bimodal,497.105,1504.88,302.729,OK
Rocketfuel_Topologies,AS6461.lgf,lp,17,74,4556,4556,NaN,NaN,NaN,NaN,NaN,uniform,3211.33,8238.77,256.553,OK
Rocketfuel_Topologies,AS6461.lgf,lp,17,74,4556,4556,NaN,NaN,NaN,NaN,NaN,gaussian,4358.26,11225.3,257.565,OK
Rocketfuel_Topologies,AS6461.lgf,lp,17,74,4556,4556,NaN,NaN,NaN,NaN,NaN,gravity,1.84806,7.78378,421.186,OK
Rocketfuel_Topologies,AS6461.lgf,lp,17,74,4522,4522,NaN,NaN,NaN,NaN,NaN,bimodal,492.105,1638.76,333.01,OK
Rocketfuel_Topologies,AS6461.lgf,lp,17,74,4522,4522,NaN,NaN,NaN,NaN,NaN,uniform,3245.33,9361,288.445,OK
Rocketfuel_Topologies,AS6461.lgf,lp,17,74,4522,4522,NaN,NaN,NaN,NaN,NaN,gaussian,3686.21,12390.8,336.139,OK
Rocketfuel_Topologies,AS6461.lgf,lp,17,74,4522,4522,NaN,NaN,NaN,NaN,NaN,gravity,1.84806,7.78378,421.186,OK
Rocketfuel_Topologies,Atnt.lgf,lp,22,76,12097,12097,NaN,NaN,NaN,NaN,NaN,bimodal,864.648,2541.59,293.945,OK
Rocketfuel_Topologies,Atnt.lgf,lp,22,76,12097,12097,NaN,NaN,NaN,NaN,NaN,uniform,4142.67,12170.2,293.777,OK
Rocketfuel_Topologies,Atnt.lgf,lp,22,76,12097,12097,NaN,NaN,NaN,NaN,NaN,gaussian,5368.05,15791.3,294.172,OK
Rocketfuel_Topologies,Atnt.lgf,lp,22,76,12097,12097,NaN,NaN,NaN,NaN,NaN,gravity,1.88089,7.26579,386.296,OK
Rocketfuel_Topologies,Atnt.lgf,lp,22,76,12488,12488,NaN,NaN,NaN,NaN,NaN,bimodal,690.209,2795.41,405.009,OK
Rocketfuel_Topologies,Atnt.lgf,lp,22,76,12488,12488,NaN,NaN,NaN,NaN,NaN,uniform,4473,13177,294.59,OK
Rocketfuel_Topologies,Atnt.lgf,lp,22,76,12488,12488,NaN,NaN,NaN,NaN,NaN,gaussian,5971.33,17790,297.923,OK
Rocketfuel_Topologies,Atnt.lgf,lp,22,76,12488,12488,NaN,NaN,NaN,NaN,NaN,gravity,1.88089,7.26579,386.296,OK
