dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,mendel_total_ms,mendel_avg_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
SNDLib_Topologies,05_test.lgf,lp,5,14,5,NaN,NaN,NaN,NaN,NaN,NaN,uniform,845.857,1447,171.069,OK
SNDLib_Topologies,05_test.lgf,lp,5,14,5,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,183.396,487.39,265.758,OK
SNDLib_Topologies,05_test.lgf,lp,5,14,5,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,985.318,2035.56,206.589,OK
SNDLib_Topologies,05_test.lgf,lp,5,14,5,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.59184,2.57143,161.538,OK
SNDLib_Topologies,05_test.lgf,lp,5,14,6,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,146.526,482.087,329.011,OK
SNDLib_Topologies,05_test.lgf,lp,5,14,6,NaN,NaN,NaN,NaN,NaN,NaN,uniform,870.429,1329,152.683,OK
SNDLib_Topologies,05_test.lgf,lp,5,14,6,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,1304.22,2132.15,163.48,OK
SNDLib_Topologies,05_test.lgf,lp,5,14,6,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.59184,2.57143,161.538,OK
SNDLib_Topologies,10_test_pcycle.lgf,lp,10,44,245,NaN,NaN,NaN,NaN,NaN,NaN,uniform,1163.32,2152.8,185.057,OK
SNDLib_Topologies,10_test_pcycle.lgf,lp,10,44,245,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,186.797,513.423,274.857,OK
SNDLib_Topologies,10_test_pcycle.lgf,lp,10,44,245,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,1510.87,3109.44,205.805,OK
SNDLib_Topologies,10_test_pcycle.lgf,lp,10,44,245,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.78926,3.5,195.612,OK
SNDLib_Topologies,10_test_pcycle.lgf,lp,10,44,237,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,203.495,542.069,266.379,OK
SNDLib_Topologies,10_test_pcycle.lgf,lp,10,44,237,NaN,NaN,NaN,NaN,NaN,NaN,uniform,1237.32,2284.4,184.625,OK
SNDLib_Topologies,10_test_pcycle.lgf,lp,10,44,237,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,1566.21,3463.47,221.137,OK
SNDLib_Topologies,10_test_pcycle.lgf,lp,10,44,237,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.78926,3.5,195.612,OK
SNDLib_Topologies,10_test_smallnet.lgf,lp,10,44,231,NaN,NaN,NaN,NaN,NaN,NaN,uniform,1141.09,2164.6,189.696,OK
