dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,mendel_total_ms,mendel_avg_ms,oblivious_ratio,demand_model,offline_opt,achieved_congestion,ratio_pct,status
SNDLib_Topologies,05_test.lgf,raecke_frt,5,14,0,0,0,6,0,NaN,NaN,2.32143,gaussian,1545.21,4005.36,259.211,OK
SNDLib_Topologies,05_test.lgf,raecke_frt,5,14,0,0,0,6,0,NaN,NaN,2.32143,uniform,789.571,2015.99,255.327,OK
SNDLib_Topologies,05_test.lgf,raecke_frt,5,14,0,0,0,6,0,NaN,NaN,2.32143,bimodal,147.267,388.258,263.643,OK
SNDLib_Topologies,05_test.lgf,raecke_frt,5,14,0,0,0,6,0,NaN,NaN,2.32143,gravity,1.59184,3.83333,240.812,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr,5,14,0,0,0,8,0,NaN,NaN,1.95635,gaussian,1545.21,3811.66,246.675,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr,5,14,0,0,0,8,0,NaN,NaN,1.95635,uniform,789.571,1780.27,225.473,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr,5,14,0,0,0,8,0,NaN,NaN,1.95635,bimodal,147.267,354.436,240.676,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr,5,14,0,0,0,8,0,NaN,NaN,1.95635,gravity,1.59184,3.34184,209.936,OK
SNDLib_Topologies,05_test.lgf,raecke_random_mst,5,14,0,0,0,7,0,NaN,NaN,2.51227,gaussian,1545.21,5298.87,342.921,OK
SNDLib_Topologies,05_test.lgf,raecke_random_mst,5,14,0,0,0,7,0,NaN,NaN,2.51227,uniform,789.571,2895.65,366.737,OK
SNDLib_Topologies,05_test.lgf,raecke_random_mst,5,14,0,0,0,7,0,NaN,NaN,2.51227,bimodal,147.267,633.94,430.471,OK
SNDLib_Topologies,05_test.lgf,raecke_random_mst,5,14,0,0,0,7,0,NaN,NaN,2.51227,gravity,1.59184,4.96537,311.927,OK
SNDLib_Topologies,05_test.lgf,raecke_frt_mendel,5,14,0,0,0,11,0,0,0,2.28333,gaussian,1545.21,3633.6,235.152,OK
SNDLib_Topologies,05_test.lgf,raecke_frt_mendel,5,14,0,0,0,11,0,0,0,2.28333,uniform,789.571,1742.62,220.705,OK
SNDLib_Topologies,05_test.lgf,raecke_frt_mendel,5,14,0,0,0,11,0,0,0,2.28333,bimodal,147.267,333.568,226.506,OK
SNDLib_Topologies,05_test.lgf,raecke_frt_mendel,5,14,0,0,0,11,0,0,0,2.28333,gravity,1.59184,3.74048,234.979,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr_mendel,5,14,0,0,0,11,0,0,0,2.21667,gaussian,1545.21,3436.66,222.407,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr_mendel,5,14,0,0,0,11,0,0,0,2.21667,uniform,789.571,1869.26,236.744,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr_mendel,5,14,0,0,0,11,0,0,0,2.21667,bimodal,147.267,351.161,238.453,OK
SNDLib_Topologies,05_test.lgf,raecke_ckr_mendel,5,14,0,0,0,11,0,0,0,2.21667,gravity,1.59184,3.74048,234.979,OK
SNDLib_Topologies,05_test.lgf,racke_frt_pointer,5,14,0,0,0,6,0,NaN,NaN,2.32143,gaussian,1545.21,4005.36,259.211,OK
SNDLib_Topologies,05_test.lgf,racke_frt_pointer,5,14,0,0,0,6,0,NaN,NaN,2.32143,uniform,789.571,2015.99,255.327,OK
SNDLib_Topologies,05_test.lgf,racke_frt_pointer,5,14,0,0,0,6,0,NaN,NaN,2.32143,bimodal,147.267,388.258,263.643,OK
SNDLib_Topologies,05_test.lgf,racke_frt_pointer,5,14,0,0,0,6,0,NaN,NaN,2.32143,gravity,1.59184,3.83333,240.812,OK
SNDLib_Topologies,05_test.lgf,racke_ckr_pointer,5,14,0,0,0,5,0,NaN,NaN,2.33333,gaussian,1545.21,4825.36,312.278,OK
SNDLib_Topologies,05_test.lgf,racke_ckr_pointer,5,14,0,0,0,5,0,NaN,NaN,2.33333,uniform,789.571,2259.33,286.147,OK
