dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,mendel_total_ms,mendel_avg_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
SNDLib_Topologies,05_test.lgf,electrical,5,14,1,1,0,11,0,NaN,NaN,uniform,845.857,563.216,66.5853,OK
SNDLib_Topologies,05_test.lgf,electrical,5,14,1,1,0,11,0,NaN,NaN,bimodal,183.396,134.595,73.3905,OK
SNDLib_Topologies,05_test.lgf,electrical,5,14,1,1,0,11,0,NaN,NaN,gaussian,985.318,630.604,64.0001,OK
SNDLib_Topologies,05_test.lgf,electrical,5,14,1,1,0,11,0,NaN,NaN,gravity,1.59184,1.12115,70.4312,OK
SNDLib_Topologies,05_test.lgf,electrical,5,14,1,1,0,11,0,NaN,NaN,bimodal,228.417,66.0497,28.9163,OK
SNDLib_Topologies,05_test.lgf,electrical,5,14,1,1,0,11,0,NaN,NaN,uniform,966.286,408.633,42.2891,OK
SNDLib_Topologies,05_test.lgf,electrical,5,14,1,1,0,11,0,NaN,NaN,gaussian,723.465,311.413,43.0447,OK
SNDLib_Topologies,05_test.lgf,electrical,5,14,1,1,0,11,0,NaN,NaN,gravity,1.59184,0.677221,42.5434,OK
SNDLib_Topologies,10_test_pcycle.lgf,electrical,10,44,5,5,0,15,0,NaN,NaN,uniform,1163.32,2012.03,172.956,OK
SNDLib_Topologies,10_test_pcycle.lgf,electrical,10,44,5,5,0,15,0,NaN,NaN,bimodal,186.797,216.751,116.036,OK
SNDLib_Topologies,10_test_pcycle.lgf,electrical,10,44,5,5,0,15,0,NaN,NaN,gaussian,1510.87,2655.89,175.786,OK
SNDLib_Topologies,10_test_pcycle.lgf,electrical,10,44,5,5,0,15,0,NaN,NaN,gravity,1.78926,3.07583,171.905,OK
SNDLib_Topologies,10_test_pcycle.lgf,electrical,10,44,3,3,0,15,0,NaN,NaN,bimodal,232.113,441.995,190.422,OK
SNDLib_Topologies,10_test_pcycle.lgf,electrical,10,44,3,3,0,15,0,NaN,NaN,uniform,1170.05,1677.82,143.398,OK
SNDLib_Topologies,10_test_pcycle.lgf,electrical,10,44,3,3,0,15,0,NaN,NaN,gaussian,1577.33,2775.1,175.936,OK
SNDLib_Topologies,10_test_pcycle.lgf,electrical,10,44,3,3,0,15,0,NaN,NaN,gravity,1.78926,2.48792,139.048,OK
SNDLib_Topologies,10_test_smallnet.lgf,electrical,10,44,3,3,0,15,0,NaN,NaN,uniform,1141.09,1937.18,169.765,OK
SNDLib_Topologies,10_test_smallnet.lgf,electrical,10,44,3,3,0,15,0,NaN,NaN,bimodal,307.162,226.573,73.7635,OK
SNDLib_Topologies,10_test_smallnet.lgf,electrical,10,44,3,3,0,15,0,NaN,NaN,gaussian,1470.16,2280.31,155.106,OK
SNDLib_Topologies,10_test_smallnet.lgf,electrical,10,44,3,3,0,15,0,NaN,NaN,gravity,1.78926,2.39772,134.006,OK
SNDLib_Topologies,10_test_smallnet.lgf,electrical,10,44,3,3,0,15,0,NaN,NaN,bimodal,251.973,324.628,128.835,OK
SNDLib_Topologies,10_test_smallnet.lgf,electrical,10,44,3,3,0,15,0,NaN,NaN,uniform,1200.86,1823.96,151.887,OK
