dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,mendel_total_ms,mendel_avg_ms,oblivious_ratio,demand_model,offline_opt,achieved_congestion,ratio_pct,status
Backbone,1221.lgf,raecke_frt,7,18,0,0,0,5,0,NaN,NaN,1.81258,gaussian,40544.7,319500,788.018,OK
Backbone,1221.lgf,raecke_frt,7,18,0,0,0,5,0,NaN,NaN,1.81258,uniform,36039.3,383400,1063.84,OK
Backbone,1221.lgf,raecke_frt,7,18,0,0,0,5,0,NaN,NaN,1.81258,bimodal,7655.92,75161.2,981.739,OK
Backbone,1221.lgf,raecke_frt,7,18,0,0,0,5,0,NaN,NaN,1.81258,gravity,1.69925,18.3206,1078.16,OK
Backbone,1221.lgf,raecke_ckr,7,18,0,0,0,6,0,NaN,NaN,1.825,gaussian,40544.7,319500,788.018,OK
Backbone,1221.lgf,raecke_ckr,7,18,0,0,0,6,0,NaN,NaN,1.825,uniform,36039.3,383400,1063.84,OK
Backbone,1221.lgf,raecke_ckr,7,18,0,0,0,6,0,NaN,NaN,1.825,bimodal,7655.92,75161.2,981.739,OK
Backbone,1221.lgf,raecke_ckr,7,18,0,0,0,6,0,NaN,NaN,1.825,gravity,1.69925,18.3206,1078.16,OK
Backbone,1221.lgf,raecke_random_mst,7,18,0,0,0,5,0,NaN,NaN,2.42443,gaussian,40544.7,319500,788.018,OK
Backbone,1221.lgf,raecke_random_mst,7,18,0,0,0,5,0,NaN,NaN,2.42443,uniform,36039.3,383400,1063.84,OK
Backbone,1221.lgf,raecke_random_mst,7,18,0,0,0,5,0,NaN,NaN,2.42443,bimodal,7655.92,75161.2,981.739,OK
Backbone,1221.lgf,raecke_random_mst,7,18,0,0,0,5,0,NaN,NaN,2.42443,gravity,1.69925,18.3206,1078.16,OK
Backbone,1221.lgf,raecke_frt_mendel,7,18,1,0,0,19,0,0,0,2,gaussian,40544.7,319500,788.018,OK
Backbone,1221.lgf,raecke_frt_mendel,7,18,1,0,0,19,0,0,0,2,uniform,36039.3,383400,1063.84,OK
Backbone,1221.lgf,raecke_frt_mendel,7,18,1,0,0,19,0,0,0,2,bimodal,7655.92,75161.2,981.739,OK
Backbone,1221.lgf,raecke_frt_mendel,7,18,1,0,0,19,0,0,0,2,gravity,1.69925,18.3206,1078.16,OK
Backbone,1221.lgf,raecke_ckr_mendel,7,18,0,0,0,9,0,0,0,2,gaussian,40544.7,319500,788.018,OK
Backbone,1221.lgf,raecke_ckr_mendel,7,18,0,0,0,9,0,0,0,2,uniform,36039.3,383400,1063.84,OK
Backbone,1221.lgf,raecke_ckr_mendel,7,18,0,0,0,9,0,0,0,2,bimodal,7655.92,75161.2,981.739,OK
Backbone,1221.lgf,raecke_ckr_mendel,7,18,0,0,0,9,0,0,0,2,gravity,1.69925,18.3206,1078.16,OK
Backbone,1221.lgf,racke_frt_pointer,7,18,0,0,0,5,0,NaN,NaN,1.81258,gaussian,40544.7,319500,788.018,OK
Backbone,1221.lgf,racke_frt_pointer,7,18,0,0,0,5,0,NaN,NaN,1.81258,uniform,36039.3,383400,1063.84,OK
Backbone,1221.lgf,racke_frt_pointer,7,18,0,0,0,5,0,NaN,NaN,1.81258,bimodal,7655.92,75161.2,981.739,OK
Backbone,1221.lgf,racke_frt_pointer,7,18,0,0,0,5,0,NaN,NaN,1.81258,gravity,1.69925,18.3206,1078.16,OK
Backbone,1221.lgf,racke_ckr_pointer,7,18,0,0,0,5,0,NaN,NaN,1.99098,gaussian,40544.7,319500,788.018,OK
Backbone,1221.lgf,racke_ckr_pointer,7,18,0,0,0,5,0,NaN,NaN,1.99098,uniform,36039.3,383400,1063.84,OK
Backbone,1221.lgf,racke_ckr_pointer,7,18,0,0,0,5,0,NaN,NaN,1.99098,bimodal,7655.92,75161.2,981.739,OK
Backbone,1221.lgf,racke_ckr_pointer,7,18,0,0,0,5,0,NaN,NaN,1.99098,gravity,1.69925,18.3206,1078.16,OK
Backbone,1221.lgf,racke_random_mst_pointer,7,18,0,0,0,6,0,NaN,NaN,1.61691,gaussian,40544.7,319500,788.018,OK
Backbone,1221.lgf,racke_random_mst_pointer,7,18,0,0,0,6,0,NaN,NaN,1.61691,uniform,36039.3,383400,1063.84,OK
Backbone,1221.lgf,racke_random_mst_pointer,7,18,0,0,0,6,0,NaN,NaN,1.61691,bimodal,7655.92,75161.2,981.739,OK
Backbone,1221.lgf,racke_random_mst_pointer,7,18,0,0,0,6,0,NaN,NaN,1.61691,gravity,1.69925,18.3206,1078.16,OK
Backbone,1221.lgf,racke_frt_mendel_pointer,7,18,1,0,0,19,0,0,0,2,gaussian,40544.7,319500,788.018,OK
Backbone,1221.lgf,racke_frt_mendel_pointer,7,18,1,0,0,19,0,0,0,2,uniform,36039.3,383400,1063.84,OK
Backbone,1221.lgf,racke_frt_mendel_pointer,7,18,1,0,0,19,0,0,0,2,bimodal,7655.92,75161.2,981.739,OK
